#SASDB SASDER2
#Sample description: Merged from concentrations 1.00 and 5.00 mg/ml
#Sample: Merged from con  c= 0.000 mg/ml  Code: tmp
#Parent(s): C:/Users/vives/AppData/Local/Temp/qt_temp.JF2596 C:/Users/vives/AppDa
 8.405550e-001  2.303610e+002  4.810680e+000
 8.431860e-001  2.348210e+002  4.874290e+000
 8.458170e-001  2.398950e+002  4.825250e+000
 8.484480e-001  2.388310e+002  4.874120e+000
 8.510800e-001  2.253910e+002  4.727900e+000
 8.537110e-001  2.356450e+002  4.816800e+000
 8.563420e-001  2.258610e+002  4.767670e+000
 8.589730e-001  2.252530e+002  4.741700e+000
 8.616040e-001  2.246440e+002  4.736140e+000
 8.642350e-001  2.293730e+002  4.693460e+000
 8.668660e-001  2.273120e+002  4.706500e+000
 8.694970e-001  2.220130e+002  4.636880e+000
 8.721280e-001  2.144420e+002  4.587830e+000
 8.747600e-001  2.220130e+002  4.657930e+000
 8.773910e-001  2.155810e+002  4.597970e+000
 8.800220e-001  2.123590e+002  4.605440e+000
 8.826530e-001  2.147940e+002  4.510230e+000
 8.852840e-001  2.113860e+002  4.543350e+000
 8.879150e-001  2.137790e+002  4.552810e+000
 8.905460e-001  2.211890e+002  4.553900e+000
 8.931770e-001  2.099670e+002  4.573260e+000
 8.958080e-001  2.189990e+002  4.513350e+000
 8.984400e-001  2.038040e+002  4.529920e+000
 9.010710e-001  2.014350e+002  4.452080e+000
 9.037020e-001  2.094850e+002  4.482110e+000
 9.063330e-001  2.063180e+002  4.520360e+000
 9.089640e-001  2.055450e+002  4.475800e+000
 9.115950e-001  2.083490e+002  4.524720e+000
 9.142260e-001  1.984570e+002  4.422300e+000
 9.168570e-001  1.998410e+002  4.454910e+000
 9.194880e-001  2.009390e+002  4.435020e+000
 9.221190e-001  1.886660e+002  4.384270e+000
 9.247510e-001  1.964340e+002  4.429220e+000
 9.273820e-001  1.999340e+002  4.373910e+000
 9.300130e-001  2.021510e+002  4.507640e+000
 9.326440e-001  1.993210e+002  4.551100e+000
 9.352750e-001  1.930970e+002  4.531110e+000
 9.379060e-001  1.934080e+002  4.537240e+000
 9.405370e-001  1.987120e+002  4.612370e+000
 9.431680e-001  1.944000e+002  4.632550e+000
 9.457990e-001  1.888340e+002  4.584210e+000
 9.484310e-001  1.897320e+002  4.634040e+000
 9.510620e-001  1.819170e+002  4.599520e+000
 9.536930e-001  1.905520e+002  4.647900e+000
 9.563240e-001  1.933080e+002  4.710080e+000
 9.589550e-001  1.855410e+002  4.630770e+000
 9.615860e-001  1.929900e+002  4.673670e+000
 9.642170e-001  1.791900e+002  4.671440e+000
 9.668480e-001  1.871030e+002  4.687730e+000
 9.694790e-001  1.839290e+002  4.706780e+000
 9.721110e-001  1.813740e+002  4.649750e+000
 9.747420e-001  1.833870e+002  4.734880e+000
 9.773730e-001  1.770330e+002  4.673700e+000
 9.800040e-001  1.825790e+002  4.730580e+000
 9.826350e-001  1.727700e+002  4.685880e+000
 9.852660e-001  1.773230e+002  4.599650e+000
 9.878970e-001  1.776540e+002  4.578620e+000
 9.905280e-001  1.774460e+002  4.489520e+000
 9.931590e-001  1.753150e+002  4.446390e+000
 9.957900e-001  1.724000e+002  4.440650e+000
 9.984220e-001  1.731640e+002  4.393420e+000
 1.001050e+000  1.761980e+002  4.416200e+000
 1.003680e+000  1.752530e+002  4.340900e+000
 1.006310e+000  1.723970e+002  4.318810e+000
 1.008950e+000  1.698480e+002  4.291880e+000
 1.011580e+000  1.675130e+002  4.307660e+000
 1.014210e+000  1.674800e+002  4.290200e+000
 1.016840e+000  1.642480e+002  4.228490e+000
 1.019470e+000  1.703610e+002  4.282900e+000
 1.022100e+000  1.656230e+002  4.220720e+000
 1.024730e+000  1.672800e+002  4.245900e+000
 1.027360e+000  1.666530e+002  4.204090e+000
 1.029990e+000  1.612450e+002  4.153740e+000
 1.032630e+000  1.588840e+002  4.200910e+000
 1.035260e+000  1.626070e+002  4.138400e+000
 1.037890e+000  1.563910e+002  4.149690e+000
 1.040520e+000  1.614500e+002  4.117000e+000
 1.043150e+000  1.534340e+002  4.094710e+000
 1.045780e+000  1.600670e+002  4.126690e+000
 1.048410e+000  1.598630e+002  4.117720e+000
 1.051040e+000  1.530270e+002  4.085670e+000
 1.053670e+000  1.552340e+002  4.047040e+000
 1.056310e+000  1.556290e+002  4.092780e+000
 1.058940e+000  1.516310e+002  4.009830e+000
 1.061570e+000  1.587440e+002  4.019070e+000
 1.064200e+000  1.466560e+002  4.026590e+000
