#SASDB SASDEM2
#Sample description: Merged from concentrations 2.00 and 7.50 mg/ml
#Sample: Merged from con  c= 0.000 mg/ml  Code: tmp
#Parent(s): C:/Users/vives/AppData/Local/Temp/qt_temp.Yl2596 C:/Users/vives/AppDa
 1.102780e+000  3.594010e+001  2.795990e+000
 1.105410e+000  3.937590e+001  2.798930e+000
 1.108050e+000  3.854560e+001  2.760730e+000
 1.110680e+000  3.962330e+001  2.804580e+000
 1.113320e+000  4.225920e+001  2.851190e+000
 1.115950e+000  3.857620e+001  2.772580e+000
 1.118590e+000  3.599300e+001  2.787730e+000
 1.121220e+000  4.205850e+001  2.817450e+000
 1.123860e+000  4.035500e+001  2.804460e+000
 1.126490e+000  3.594030e+001  2.777070e+000
 1.129130e+000  3.492370e+001  2.755530e+000
 1.131760e+000  3.903850e+001  2.771500e+000
 1.134390e+000  3.715060e+001  2.743870e+000
 1.137030e+000  3.601840e+001  2.760560e+000
 1.139660e+000  3.847280e+001  2.721700e+000
 1.142300e+000  3.768700e+001  2.741100e+000
 1.144930e+000  3.723330e+001  2.751150e+000
 1.147570e+000  3.738900e+001  2.728920e+000
 1.150200e+000  3.645170e+001  2.698700e+000
 1.152840e+000  3.673320e+001  2.722280e+000
 1.155470e+000  3.609030e+001  2.710940e+000
 1.158110e+000  3.427820e+001  2.702190e+000
 1.160740e+000  3.794390e+001  2.680240e+000
 1.163380e+000  4.046550e+001  2.711520e+000
 1.166010e+000  4.072610e+001  2.686120e+000
 1.168650e+000  3.769020e+001  2.687480e+000
 1.171280e+000  3.851980e+001  2.711530e+000
 1.173910e+000  4.199160e+001  2.701230e+000
 1.176550e+000  3.695000e+001  2.698150e+000
 1.179180e+000  3.495990e+001  2.675820e+000
 1.181820e+000  3.671670e+001  2.710920e+000
 1.184450e+000  3.293690e+001  2.671690e+000
 1.187090e+000  3.442600e+001  2.643530e+000
 1.189720e+000  3.530530e+001  2.651790e+000
 1.192360e+000  3.334170e+001  2.632340e+000
 1.194990e+000  3.267250e+001  2.629750e+000
 1.197630e+000  3.707930e+001  2.638000e+000
 1.200260e+000  3.767630e+001  2.645760e+000
 1.202900e+000  3.369820e+001  2.623180e+000
 1.205530e+000  3.467610e+001  2.618610e+000
 1.208170e+000  3.465940e+001  2.619380e+000
 1.210800e+000  3.600500e+001  2.611740e+000
 1.213430e+000  3.210170e+001  2.567500e+000
 1.216070e+000  3.021320e+001  2.585320e+000
 1.218700e+000  3.572270e+001  2.573650e+000
 1.221340e+000  3.236070e+001  2.582220e+000
 1.223970e+000  3.235180e+001  2.591390e+000
 1.226610e+000  3.233890e+001  2.579950e+000
 1.229240e+000  3.310840e+001  2.570360e+000
 1.231880e+000  3.236790e+001  2.581780e+000
 1.234510e+000  3.341490e+001  2.589000e+000
 1.237150e+000  3.279330e+001  2.587410e+000
 1.239780e+000  3.380390e+001  2.573670e+000
 1.242420e+000  3.217840e+001  2.557140e+000
 1.245050e+000  2.999950e+001  2.559170e+000
 1.247680e+000  3.440010e+001  2.578440e+000
 1.250320e+000  3.378920e+001  2.565950e+000
 1.252950e+000  3.251440e+001  2.564220e+000
 1.255590e+000  3.455280e+001  2.559950e+000
 1.258220e+000  3.303210e+001  2.588030e+000
 1.260860e+000  3.120130e+001  2.550600e+000
 1.263490e+000  3.179580e+001  2.533220e+000
 1.266130e+000  3.228500e+001  2.551160e+000
 1.268760e+000  2.988200e+001  2.529610e+000
 1.271400e+000  3.291690e+001  2.543660e+000
 1.274030e+000  2.738010e+001  2.498610e+000
 1.276670e+000  3.006320e+001  2.527700e+000
 1.279300e+000  3.071630e+001  2.514260e+000
 1.281940e+000  3.350990e+001  2.527000e+000
 1.284570e+000  3.145010e+001  2.497660e+000
 1.287200e+000  3.258420e+001  2.495240e+000
 1.289840e+000  2.953040e+001  2.504860e+000
 1.292470e+000  3.098140e+001  2.502560e+000
 1.295110e+000  3.305880e+001  2.510550e+000
 1.297740e+000  3.062270e+001  2.478350e+000
 1.300380e+000  3.067560e+001  2.499400e+000
 1.303010e+000  3.093310e+001  2.486920e+000
 1.305650e+000  2.821130e+001  2.470350e+000
 1.308280e+000  2.912610e+001  2.461490e+000
 1.310920e+000  2.981210e+001  2.491960e+000
 1.313550e+000  2.988810e+001  2.466160e+000
 1.316190e+000  2.812360e+001  2.473530e+000
 1.318820e+000  2.728780e+001  2.447150e+000
 1.321460e+000  3.029550e+001  2.466580e+000
 1.324090e+000  2.905610e+001  2.445210e+000
 1.326720e+000  2.813180e+001  2.442830e+000
 1.329360e+000  2.919770e+001  2.467940e+000
 1.331990e+000  2.803560e+001  2.448330e+000
 1.334630e+000  3.125280e+001  2.471530e+000
 1.337260e+000  3.135410e+001  2.459720e+000
 1.339900e+000  2.811180e+001  2.454620e+000
 1.342530e+000  2.552370e+001  2.415410e+000
 1.345170e+000  2.964780e+001  2.431220e+000
 1.347800e+000  2.926120e+001  2.417500e+000
 1.350440e+000  3.018720e+001  2.440770e+000
 1.353070e+000  2.598980e+001  2.414590e+000
 1.355710e+000  2.895160e+001  2.423980e+000
 1.358340e+000  2.910230e+001  2.429600e+000
 1.360970e+000  2.722810e+001  2.399000e+000
 1.363610e+000  2.779530e+001  2.385990e+000
 1.366240e+000  2.790250e+001  2.381890e+000
 1.368880e+000  2.912280e+001  2.414360e+000
 1.371510e+000  2.852010e+001  2.411740e+000
 1.374150e+000  2.835790e+001  2.395320e+000
 1.376780e+000  2.863700e+001  2.379040e+000
 1.379420e+000  2.804130e+001  2.388300e+000
 1.382050e+000  2.770150e+001  2.363120e+000
 1.384690e+000  2.639890e+001  2.381200e+000
 1.387320e+000  2.808470e+001  2.369320e+000
 1.389960e+000  2.586920e+001  2.417840e+000
 1.392590e+000  2.609640e+001  2.384450e+000
 1.395230e+000  3.006350e+001  2.389840e+000
 1.397860e+000  2.891590e+001  2.380860e+000
 1.400490e+000  2.897750e+001  2.376160e+000
 1.403130e+000  2.519730e+001  2.357070e+000
 1.405760e+000  2.432400e+001  2.379780e+000
 1.408400e+000  3.067030e+001  2.379740e+000
 1.411030e+000  2.652060e+001  2.356320e+000
 1.413670e+000  2.990890e+001  2.385150e+000
 1.416300e+000  2.811340e+001  2.352330e+000
 1.418940e+000  2.870510e+001  2.358440e+000
 1.421570e+000  2.362630e+001  2.318960e+000
 1.424210e+000  2.670750e+001  2.350070e+000
